Year,Facility,Class,All Delays,All Avg. min.,all Total min.,Weather Number of Delays,Weather avg,Weather total,volume number of delays,volume avg,volume total,Equipment number of delays,Equipment avg.,Equipment total,runway number of delays,runway avg.,runway total,Other number of delays,other avg.,other total
2004,ABQ,Combined TRACON & Tower with Radar,82,83,6833,19,69,1320,1,47,47,22,131,2880,3,47,140,37,66,2446
2004,ANC,Towers with Radar,162,28,4610,47,27,1256,47,34,1593,33,23,765,19,23,438,16,35,558
2004,ATL,Combined TRACON & Tower with Radar,33604,58,1955960,30435,61,1867793,2821,27,77037,42,52,2167,102,26,2640,204,31,6323
2004,ATL,Towers with Radar,6457,64,410196,6047,65,394153,347,33,11514,2,34,67,18,77,1381,43,72,3081
2004,AUS,Combined TRACON & Tower with Radar,25,66,1653,7,62,432,1,18,18,0,0,0,0,0,0,17,71,1203
2004,AUS,Towers with Radar,59,47,2751,29,54,1553,18,28,511,8,60,480,1,113,113,3,31,94
2004,BDL,Combined TRACON & Tower with Radar,84,64,5334,50,72,3576,2,37,73,5,32,161,9,33,301,18,68,1223
2004,BDL,Towers with Radar,5,58,288,3,66,199,1,17,17,0,0,0,0,0,0,1,72,72
2004,BHM,Combined TRACON & Tower with Radar,17,34,586,2,25,50,15,36,536,0,0,0,0,0,0,0,0,0
2004,BHM,Towers with Radar,89,85,7554,78,86,6739,10,74,741,0,0,0,0,0,0,1,74,74
2004,BNA,Combined TRACON & Tower with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BNA,Towers with Radar,56,63,3522,40,72,2884,6,25,150,8,44,354,0,0,0,2,67,134
2004,BOS,Combined TRACON & Tower with Radar,5198,50,261519,3844,56,216615,528,38,19914,26,30,780,691,30,20828,109,31,3382
2004,BOS,Towers with Radar,808,63,51000,776,64,49327,17,53,906,0,0,0,8,24,189,7,83,578
2004,BUF,Combined TRACON & Tower with Radar,8,53,422,8,53,422,0,0,0,0,0,0,0,0,0,0,0,0
2004,BUF,Towers with Radar,43,62,2674,20,83,1656,1,102,102,1,45,45,11,51,557,10,31,314
2004,BUR,Combined TRACON & Tower with Radar,90,51,4618,25,67,1678,11,20,218,16,123,1969,4,19,77,34,20,676
2004,BUR,Towers with Radar,2,23,45,0,0,0,2,23,45,0,0,0,0,0,0,0,0,0
2004,BWI,Towers with Radar,1872,66,123749,1653,70,115719,118,36,4223,9,56,501,13,32,413,79,37,2893
2004,CLE,Combined TRACON & Tower with Radar,373,57,21360,299,64,19044,72,30,2172,0,0,0,0,0,0,2,72,144
2004,CLE,Towers with Radar,717,51,36559,382,72,27362,313,26,8278,9,39,352,2,74,147,11,38,420
2004,CLT,Combined TRACON & Tower with Radar,452,35,15856,170,54,9232,178,23,4094,2,38,76,78,24,1845,24,25,609
2004,CLT,Towers with Radar,2265,35,79513,1018,45,45912,647,24,15399,63,61,3823,109,28,3021,428,27,11358
2004,CVG,Combined TRACON & Tower with Radar,541,43,23172,202,75,15127,80,39,3157,0,0,0,72,18,1315,187,19,3573
2004,CVG,Towers with Radar,5810,36,210252,3322,46,152852,1134,27,30294,33,27,884,294,22,6511,1027,19,19711
2004,DAL,Combined TRACON & Tower with Radar,528,46,24047,491,47,22859,23,31,724,1,26,26,2,21,41,11,36,397
2004,DAL,Towers with Radar,70,62,4347,61,46,2805,4,18,72,0,0,0,3,478,1434,2,18,36
2004,DAY,Combined TRACON & Tower with Radar,6,186,1115,6,186,1115,0,0,0,0,0,0,0,0,0,0,0,0
2004,DAY,Towers with Radar,401,35,13896,7,44,310,392,35,13530,0,0,0,0,0,0,2,28,56
2004,DCA,Towers with Radar,1651,53,88200,1328,59,78916,118,36,4293,23,27,623,23,22,515,159,24,3853
2004,DEN,Combined TRACON & Tower with Radar,1054,45,47577,955,45,42550,22,44,959,62,59,3646,9,22,198,6,37,224
2004,DEN,Towers with Radar,15,38,569,3,32,95,1,19,19,0,0,0,0,0,0,11,41,455
2004,DFW,Combined TRACON & Tower with Radar,12640,41,523011,9351,48,451721,1675,21,35267,50,29,1450,267,25,6700,1297,21,27873
2004,DFW,Towers with Radar,3144,43,134519,2541,48,120736,257,24,6283,5,53,263,320,19,6103,21,54,1134
2004,DTW,Combined TRACON & Tower with Radar,5786,36,205968,3024,45,136950,1741,27,46354,46,31,1429,832,21,17387,143,27,3848
2004,DTW,Towers with Radar,390,25,9703,125,27,3340,173,26,4535,0,0,0,83,18,1531,9,33,297
2004,EWR,Combined TRACON & Tower with Radar,24324,61,1490545,16773,72,1202261,3067,36,111078,107,39,4180,2717,47,127892,1660,27,45134
2004,EWR,Towers with Radar,4305,66,285530,3175,75,238908,925,42,39216,5,44,219,154,29,4542,46,58,2645
2004,FLL,Combined TRACON & Tower with Radar,4133,43,178683,1466,49,71962,1624,35,57489,66,40,2640,278,61,16891,699,42,29701
2004,FLL,Towers with Radar,1671,35,58616,95,43,4047,1544,35,53750,0,0,0,21,24,504,11,29,315
2004,HNL,Towers with Radar,24,73,1746,0,0,0,0,0,0,3,185,555,0,0,0,21,57,1191
2004,HOU,Combined TRACON & Tower with Radar,512,59,30114,465,60,28053,26,39,1018,15,49,733,5,53,266,1,44,44
2004,HOU,Towers with Radar,66,57,3775,57,59,3376,5,34,172,0,0,0,1,38,38,3,63,189
2004,HPN,Combined TRACON & Tower with Radar,1488,56,84044,1038,66,68258,302,40,12080,60,22,1348,57,22,1253,31,36,1105
2004,HPN,Towers with Radar,60,50,3022,32,49,1560,19,51,969,0,0,0,4,37,148,5,69,345
2004,IAD,Towers with Radar,17261,48,836959,8487,65,550952,4898,36,174926,101,44,4448,3551,28,98788,224,35,7845
2004,IAH,Combined TRACON & Tower with Radar,14852,32,471214,10787,35,379004,2668,24,62746,97,31,2992,275,23,6252,1025,20,20220
2004,IAH,Towers with Radar,2517,37,93708,1783,43,75961,607,24,14272,0,0,0,72,23,1690,55,32,1785
2004,IND,Combined TRACON & Tower with Radar,3,52,156,2,33,66,0,0,0,0,0,0,0,0,0,1,90,90
2004,IND,Towers with Radar,50,62,3113,33,69,2265,3,23,70,4,71,285,7,61,424,3,23,69
2004,ISP,Combined TRACON & Tower with Radar,77,100,7703,61,110,6697,3,34,101,0,0,0,0,0,0,13,70,905
2004,ISP,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,JAX,Combined TRACON & Tower with Radar,2,26,51,0,0,0,1,26,26,0,0,0,0,0,0,1,25,25
2004,JAX,Towers with Radar,134,51,6789,43,61,2602,6,37,220,57,42,2377,3,72,215,25,55,1375
2004,JFK,Combined TRACON & Tower with Radar,8180,39,317071,6499,42,275946,368,27,9915,21,50,1045,663,25,16731,629,21,13434
2004,JFK,Towers with Radar,600,38,22852,441,44,19274,33,28,915,31,22,688,79,21,1687,16,18,288
2004,LAS,Combined TRACON & Tower with Radar,9963,38,374970,4392,55,241091,1643,25,40431,144,61,8719,739,21,15632,3045,23,69097
2004,LAS,Towers with Radar,1223,64,78405,1047,71,74617,16,30,483,7,20,141,117,19,2230,36,26,934
2004,LAX,Combined TRACON & Tower with Radar,1741,27,47778,812,26,20981,526,23,11839,58,105,6087,248,28,6927,97,20,1944
2004,LAX,Towers with Radar,370,31,11561,258,34,8802,46,25,1131,0,0,0,48,25,1202,18,24,426
2004,LGA,Combined TRACON & Tower with Radar,17475,59,1024067,14539,65,940520,2105,28,58555,62,27,1646,195,36,6946,574,29,16400
2004,LGA,Towers with Radar,3357,57,190253,2619,65,170243,549,27,14739,0,0,0,151,19,2909,38,62,2362
2004,LGB,Towers with Display (VFR),35,32,1117,8,39,312,9,21,186,8,53,426,0,0,0,10,19,193
2004,LGB,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,MCI,Combined TRACON & Tower with Radar,1,36,36,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0
2004,MCI,Towers with Radar,58,63,3633,47,68,3218,4,37,147,0,0,0,2,48,96,5,34,172
2004,MCO,Combined TRACON & Tower with Radar,11,45,497,3,34,103,8,49,394,0,0,0,0,0,0,0,0,0
2004,MCO,Towers with Radar,1100,39,43430,741,41,30228,192,30,5725,114,56,6343,31,23,709,22,19,425
2004,MDW,Combined TRACON & Tower with Radar,5431,53,289867,4454,56,249995,735,46,33861,23,23,529,44,38,1660,175,22,3822
2004,MDW,Towers with Radar,519,58,30181,304,76,23212,208,32,6653,0,0,0,0,0,0,7,45,316
2004,MEM,Combined TRACON & Tower with Radar,356,35,12386,221,36,7912,45,27,1194,27,54,1469,54,25,1353,9,51,458
2004,MEM,Towers with Radar,1209,30,36455,502,38,19030,90,25,2280,90,37,3297,286,19,5521,241,26,6327
2004,MHT,Towers with Display (VFR),11,35,380,5,42,209,4,31,122,0,0,0,0,0,0,2,25,49
2004,MHT,Towers with Radar,168,47,7931,59,62,3664,74,36,2668,2,22,44,2,32,63,31,48,1492
2004,MIA,Combined TRACON & Tower with Radar,1769,27,48166,922,29,26598,439,22,9687,115,36,4117,41,23,936,252,27,6828
2004,MKE,Combined TRACON & Tower with Radar,114,95,10817,82,113,9273,12,44,530,0,0,0,0,0,0,20,51,1014
2004,MSP,Combined TRACON & Tower with Radar,3488,45,156538,2368,51,120901,349,29,10277,12,54,652,173,40,6955,586,30,17753
2004,MSP,Towers with Radar,438,39,17073,191,46,8778,65,29,1896,1,135,135,56,33,1850,125,35,4414
2004,MSY,Combined TRACON & Tower with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,MSY,Towers with Radar,65,56,3650,20,59,1171,0,0,0,33,62,2051,0,0,0,12,36,428
2004,OAK,Combined TRACON & Tower with Radar,164,40,6518,48,29,1402,27,23,623,30,109,3280,45,21,924,14,21,289
2004,OAK,Towers with Radar,148,27,3941,43,27,1167,3,20,61,0,0,0,98,26,2595,4,30,118
2004,OGG,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,OMA,Combined TRACON & Tower with Radar,7,93,652,3,81,242,2,102,203,1,179,179,0,0,0,1,28,28
2004,OMA,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ONT,Combined TRACON & Tower with Radar,83,47,3899,34,45,1519,3,31,93,10,139,1390,0,0,0,36,25,897
2004,ONT,Towers with Radar,13,25,325,5,25,124,8,25,201,0,0,0,0,0,0,0,0,0
